ERP,Note
0137556107CA,OK
0137850179CA,OK
0137650517CA,6/20일 출하분 부족
0137650521CA,6/20일 출하분 부족
0137650505CA,HQ checking because no have plan
0137556092CA,OK
0137556089CA,"6/16일 2,574대 부족,  6/20일 4,730대 부족"
0137650478CA,6/20일 출하분 부족
0137750275CA,"6/16일 2,468대 부족, 6/20 1000대 부족"
0137480160CA,OK
0137650504CA,6/20일 출하분 부족
0137750276CA,OK
0137750274CA,6/20일 출하분 부족
0137650511CA,OK
0137830051CA,6/20일 출하분 부족
0137430033CA,OK
0137556101CA,6/20일 출하분 부족
0187650250CA,6/20일 출하분 부족
0187750077CA,6/20일 출하분 부족
0187550426CA,6/20일 출하분 부족
0187550437CA,6/20일 출하분 부족
